Taxpayer ID,Company ID,Director Role
TXP_AACCCAD771,COMP_67C80503,Secretary
TXP_848BC0BED7,COMP_86D64684,Director
TXP_2ECA12AFF8,COMP_3205CA57,Director
TXP_DA3F1C7A82,COMP_A0E5E47A,CEO
TXP_447895DF04,COMP_A272EBD7,Director
TXP_CD15D5A06A,COMP_872C0E39,CFO
TXP_4969433FF5,COMP_5288F670,Director
TXP_13B551EB8E,COMP_3BB15FB3,Director
TXP_E9039F3067,COMP_3D96788B,Director
TXP_CD85AC0FBD,COMP_08ECD049,Director
TXP_A58A378B71,COMP_2E9F052C,Secretary
TXP_7F96F333D7,COMP_872C0E39,Non-Executive Director
TXP_F8842E0DC5,COMP_E9D1E4BD,Director
TXP_C08808FE46,COMP_8F16B77B,CFO
TXP_88EAC649C3,COMP_E628E170,CEO
TXP_EB3D49D2C7,COMP_09198F21,Director
TXP_9C7AE55E29,COMP_507DAA83,Director
TXP_7080FDA7CB,COMP_5C2F05FE,Director
TXP_8DF2BABE87,COMP_C02B17A5,Non-Executive Director
TXP_333731E6F2,COMP_A066A32F,Secretary
TXP_B420751F2C,COMP_433A1D83,Director
TXP_52EAE6BC28,COMP_391E2769,Secretary
TXP_6797ED1C04,COMP_6AFE354E,CFO
TXP_3E4B581CB2,COMP_DE3D34DB,Non-Executive Director
TXP_0013FCA62A,COMP_B639093C,Non-Executive Director
TXP_A704D8E111,COMP_334B5B5F,Director
TXP_22C697ECFE,COMP_AD10AC99,Director
TXP_ADA5C2020F,COMP_FFED59FC,CFO
TXP_1C2EB01554,COMP_2F10AA1F,Secretary
TXP_BCD6EADA31,COMP_876A27BC,Non-Executive Director
TXP_BAE3234156,COMP_4A66A700,Director
TXP_E9039F3067,COMP_41F805A2,Secretary
TXP_81E23891CA,COMP_3CA2E74C,Non-Executive Director
TXP_D86AB28CBD,COMP_EF14B209,Non-Executive Director
TXP_57745EC68C,COMP_49E678F4,Non-Executive Director
TXP_7271CC387E,COMP_A6751853,CFO
TXP_023FAC8B85,COMP_6D0D3DE5,Director
TXP_76DB9013DC,COMP_0DBEF590,Director
TXP_F3852E5E78,COMP_4DFD7C2C,CEO
TXP_83D62461A4,COMP_742792F8,Director
TXP_9C54F92296,COMP_B68A3D36,CFO
TXP_5DB45C54C1,COMP_F9C961EC,Director
TXP_18954F8ED5,COMP_0B30C7BB,Secretary
TXP_594BD7CFF9,COMP_5E47E71C,CEO
TXP_273CA3984C,COMP_008FD76D,Non-Executive Director
TXP_5B95103164,COMP_CCFF1440,Non-Executive Director
TXP_C085FA140F,COMP_88693910,Director
TXP_6D1B3E3BF9,COMP_C6ADA544,Director
TXP_A0C84DE648,COMP_87E591F1,CEO
TXP_6D9DF99778,COMP_BB9EDF0E,CEO
TXP_BE68297AD8,COMP_6C95F3B3,Director
TXP_1E0EF60B47,COMP_AD1DD4CA,CEO
TXP_ADC6B6F10F,COMP_8AD7265A,Director
TXP_8B556FBFD7,COMP_538BBC69,Non-Executive Director
TXP_819D7E1412,COMP_6D0D3DE5,Director
TXP_24A81923D4,COMP_FEA8152E,Director
TXP_BBFA7659BA,COMP_B78D1377,Director
TXP_EB3E06292B,COMP_ACC5C2D5,Non-Executive Director
TXP_083F684645,COMP_F8DCB289,Non-Executive Director
TXP_33F934DF04,COMP_2B0153AF,Non-Executive Director
TXP_A2338C7E02,COMP_139ACBB1,Director
TXP_737FBD7766,COMP_5607A686,Director
TXP_23977305C3,COMP_F6021AAD,Director
TXP_13D88E57C1,COMP_22092DDB,CEO
TXP_E10AF60CB1,COMP_2E02B391,CFO
TXP_F0435B7627,COMP_3C731126,CEO
TXP_F77A1B12BA,COMP_40F4D7DE,Director
TXP_7D82FC702F,COMP_E03ECA23,CEO
TXP_D76EA17C6F,COMP_5E97FFB5,Director
TXP_6AFF00A72E,COMP_FFED59FC,Non-Executive Director
TXP_2DE08B8790,COMP_1547879F,Secretary
TXP_A6932EB6AB,COMP_EE49A26C,Director
TXP_5FED3CB615,COMP_1FC45438,Non-Executive Director
TXP_C99052FFC4,COMP_191AA4A8,Director
TXP_033AA8D324,COMP_8112A7AD,Director
TXP_A05188300C,COMP_1547879F,Director
TXP_E10AF60CB1,COMP_3585F895,Non-Executive Director
TXP_C085FA140F,COMP_58281E65,Director
TXP_E38455C852,COMP_8B3F74BD,Director
TXP_8A310967C9,COMP_4223C703,CFO
TXP_B97BC4207C,COMP_27FBCD30,CFO
TXP_A1625F3F69,COMP_0B66A941,CEO
TXP_1049318662,COMP_E1A2C30C,Non-Executive Director
TXP_5C0A21F7BB,COMP_C98EA83B,CEO
TXP_EDB58C0D9A,COMP_AFC760A0,Non-Executive Director
TXP_618FED4E9B,COMP_7699006D,Director
TXP_B76D351DEF,COMP_C806ECF8,Director
TXP_EFBECDDE05,COMP_DE3BEC2B,Secretary
TXP_50AB5ADC37,COMP_F50EBABC,Secretary
TXP_8DA08D8DD5,COMP_AD10AC99,CFO
TXP_DA3F1C7A82,COMP_739D93AF,CEO
TXP_C0483E5CE3,COMP_81B877A3,Non-Executive Director
TXP_A935B1A5EF,COMP_A5E7E7F8,Director
TXP_EFBECDDE05,COMP_C4EC1669,Non-Executive Director
TXP_43BC3F48F2,COMP_2AA0B90C,Director
TXP_0F54003FD9,COMP_872C0E39,Director
TXP_8E15FD1A6D,COMP_0F19D4FD,Secretary
TXP_5F1CEEDDEF,COMP_0720248A,Director
TXP_005D89AFEF,COMP_44A1EDB7,Non-Executive Director
TXP_9522D8603C,COMP_D1B4E935,Non-Executive Director
TXP_E016D47986,COMP_D4DC25CA,Director
TXP_239D96F3FC,COMP_CD245248,Director
TXP_10CF163C05,COMP_BABAB569,Director
TXP_5E3CDBDCA9,COMP_80B45DA0,Director
TXP_618FED4E9B,COMP_7BED42B6,Director
TXP_B9C32C51CE,COMP_40D76513,Director
TXP_C2B0499748,COMP_8508AD9D,CEO
TXP_0CE3E0BE6A,COMP_BF03716E,Non-Executive Director
TXP_8A310967C9,COMP_7CE585CB,Director
TXP_329971F15E,COMP_07BD3371,CFO
TXP_33878D4C77,COMP_CE33B5B9,Non-Executive Director
TXP_67EF2ECC6E,COMP_BC88F9E5,Director
TXP_030C862A0A,COMP_68BD68B6,Secretary
TXP_614CC8CFD5,COMP_5C6DCB71,
TXP_F9C99EEA6B,COMP_5693DB10,Non-Executive Director
TXP_65D11DA745,COMP_3D3859E5,Non-Executive Director
TXP_23977305C3,COMP_A2FC4858,Director
TXP_03E4FFD992,COMP_F50EBABC,CFO
TXP_27293AD551,COMP_5CC60508,Director
TXP_DD6509080C,COMP_13D604D6,Non-Executive Director
TXP_76EFB6E51C,COMP_5607A686,CEO
TXP_005D89AFEF,COMP_E1A2C30C,
TXP_292F5F70F3,COMP_C3E22551,Non-Executive Director
TXP_339474B8EE,COMP_773ECC45,CFO
TXP_0390C553C7,COMP_52172F3B,CEO
TXP_F151806A25,COMP_FC73DCD1,Secretary
TXP_E823A171AB,COMP_619E22FE,Director
TXP_7E9B01F316,COMP_A2A5C642,Director
TXP_0487E2BF20,COMP_71A6E1C4,Director
TXP_35E841C3F1,COMP_F5CEB381,Non-Executive Director
TXP_F96F80DBE3,COMP_296AFF58,Director
TXP_39862B0396,COMP_FC76A16D,CEO
TXP_6BA84C5217,COMP_2AD87959,Director
TXP_8B1744140D,COMP_AEEBF811,Director
TXP_D0E27024CE,COMP_1FC45438,Director
TXP_61F5438754,COMP_95876E24,Director
TXP_9265BCC637,COMP_E051303A,Director
TXP_4BD18717EC,COMP_FCB76EA2,Director
TXP_BBFA7659BA,COMP_6A74D9E4,Director
TXP_BFE40D41BE,COMP_82852B13,Director
TXP_3AEB97D51B,COMP_246D815A,Non-Executive Director
TXP_E7AAB1FCD8,COMP_A2FC4858,Director
TXP_D0E27024CE,COMP_3E07053E,CEO
TXP_E41A5D4E1E,COMP_2503E0FD,Director
TXP_0013FCA62A,COMP_548E3EE9,Director
TXP_3D7592EF2F,COMP_BD0CEF47,Non-Executive Director
TXP_C24F747782,COMP_74F369EF,Director
TXP_DCC459F36A,COMP_08111417,Director
TXP_39AF32E9F2,COMP_3F17C448,CEO
TXP_80E482B047,COMP_D975F7A1,Director
TXP_E016D47986,COMP_69FD54DE,Director
TXP_97C38B6885,COMP_D0A90EA2,Director
TXP_033AA8D324,COMP_E0E0B7BD,Director
TXP_B76D351DEF,COMP_BA3D306C,Director
TXP_8E15FD1A6D,COMP_515334B8,Director
TXP_7D78A79E2D,COMP_5E6C86A2,Director
TXP_1A970B38A7,COMP_38E239FF,Director
TXP_52701124E1,COMP_C106D760,Director
TXP_2BDF4EAA80,COMP_28DE276C,Non-Executive Director
TXP_309850D155,COMP_5693DB10,CFO
TXP_F200246D8D,COMP_CD245248,Director
TXP_BC01A40BAC,COMP_92E9D119,Director
TXP_5B95103164,COMP_F50EBABC,Non-Executive Director
TXP_07BCE20E88,COMP_8F5F32C2,Non-Executive Director
TXP_EE295877DE,COMP_7E1E6663,Non-Executive Director
TXP_1A3AC93ADD,COMP_687D2DE4,Director
TXP_1164A2B1B0,COMP_C41EECFF,Non-Executive Director
TXP_E73CE18C1F,COMP_E9D1E4BD,Director
TXP_0C71057811,COMP_68BD68B6,Director
TXP_6FDB72F4C8,COMP_F9C961EC,CEO
TXP_8CFC152BCE,COMP_B44E6BAE,Director
TXP_EBB2FC5D99,COMP_FC76A16D,Director
TXP_DA3C3A0CD6,COMP_D592F612,CFO
TXP_CF3C4488E3,COMP_E58856A9,Secretary
TXP_48AB7D9853,COMP_196C3101,Non-Executive Director
TXP_9522D8603C,COMP_57B57F64,Director
TXP_256429038E,COMP_0A452188,Director
TXP_2E45DE3153,COMP_3C731126,Director
TXP_867F514749,COMP_D65FCF14,Non-Executive Director
TXP_C320F47F66,COMP_EFD16CBA,Director
TXP_1A1FAD8D65,COMP_41A9D8E3,Director
TXP_154AE44E2F,COMP_57E5D69A,Non-Executive Director
TXP_B9C32C51CE,COMP_F605C643,Secretary
TXP_1E0EF60B47,COMP_1B5E10F0,CFO
TXP_AACE16397B,COMP_F824CE3B,Director
TXP_2C2A23C9A9,COMP_21A9256A,Director
TXP_8460C425C4,COMP_68BD68B6,CFO
TXP_1889808F01,COMP_548E3EE9,Secretary
TXP_B87FACAABE,COMP_4D4D8947,Director
TXP_E7CE49A5D6,COMP_8ADB3CE5,Non-Executive Director
TXP_689FD643D8,COMP_13D604D6,Director
TXP_7C2D3FB7D0,COMP_F6021AAD,Director
TXP_3CF02CFC7D,COMP_3B0C38EC,Director
TXP_7BE8815E88,COMP_B501C49A,Director
TXP_18F40C50C1,COMP_8F3CFAED,Director
TXP_C2B0499748,COMP_828B915A,Director
TXP_EF4478AFD8,COMP_CC123B82,Director
TXP_ADF136CD0E,COMP_21A9256A,Director
TXP_C724926968,COMP_09198F21,Secretary
TXP_9265BCC637,COMP_817E0FEA,Director
TXP_2F088FCA09,COMP_1EB0B323,CEO
TXP_E7AAB1FCD8,COMP_F824CE3B,Non-Executive Director
TXP_BE3DA94EEC,COMP_E292D515,Non-Executive Director
TXP_F9C72F3170,COMP_203389E4,Director
TXP_268139DFAE,COMP_1EDBC336,Director
TXP_D7A3C47DBB,COMP_3D51D7EB,Director
TXP_61AD50D4F5,COMP_15542AF4,Director
TXP_CB33C010DC,COMP_7F42F4B2,Director
TXP_1E805569B4,COMP_31B073F0,Director
TXP_7D82FC702F,COMP_5BB76694,Non-Executive Director
TXP_C779D0EE2F,COMP_74F369EF,Director
TXP_594BD7CFF9,COMP_9D97D28E,CEO
TXP_B4E93D28C5,COMP_BC88F9E5,Director
TXP_0F54003FD9,COMP_933F8FE9,Non-Executive Director
TXP_033AA8D324,COMP_8F3CFAED,Director
TXP_BDF20B9367,COMP_D55EF78A,Director
TXP_043F5F56F9,COMP_76905379,Director
TXP_04EDB287EE,COMP_E287871E,Non-Executive Director
TXP_BCD6EADA31,COMP_DFF15275,Director
TXP_734167367B,COMP_A0D601E5,Director
TXP_A47ACD8A45,COMP_83B1DC46,Director
TXP_BE68297AD8,COMP_B99507C9,Secretary
TXP_7D82FC702F,COMP_65AFB2BD,Director
TXP_8CE5258043,COMP_B232E8A6,Non-Executive Director
TXP_0C19AE9872,COMP_A04E7E07,Director
TXP_E7365BEB3C,COMP_F9C961EC,Director
TXP_4705896CBA,COMP_4BFF9E0A,Non-Executive Director
TXP_0C5B21DBEE,COMP_3D6DCE51,Director
TXP_C746DC3B36,COMP_E2AE47D4,Non-Executive Director
TXP_8EB392F53B,COMP_E324F761,Director
TXP_292F5F70F3,COMP_7FCB5E61,Director
TXP_335AE03D36,COMP_E10EE59D,Secretary
TXP_6FDB72F4C8,COMP_5E6C86A2,
TXP_299B183D5A,COMP_0B13A2DB,Director
TXP_4806DCB89F,COMP_A1A90FF4,Non-Executive Director
TXP_F764C701F9,COMP_81589733,Non-Executive Director
TXP_4572E17CD9,COMP_04BD2C96,Non-Executive Director
TXP_5551D69EB5,COMP_64DFF4A8,CEO
TXP_3648B422B0,COMP_57C69F05,Secretary
TXP_EA38542460,COMP_57B57F64,Secretary
TXP_FA5E7F095B,COMP_BC908319,Director
TXP_1494DEB6E2,COMP_697C6022,Director
TXP_F674D6E7F6,COMP_74F369EF,Non-Executive Director
TXP_47998CD377,COMP_BD1994B1,Non-Executive Director
TXP_A5FF4FE761,COMP_74F369EF,Secretary
TXP_CD86960C9A,COMP_8551F7FE,Director
TXP_DA3C3A0CD6,COMP_CE48CC51,Non-Executive Director
TXP_A7C4F56FCC,COMP_43186143,Director
TXP_57745EC68C,COMP_88400536,CEO
TXP_980AADF3DA,COMP_745C284C,Director
TXP_BCD6EADA31,COMP_3E07053E,Director
TXP_D525275617,COMP_8151C7B0,Director
TXP_B8CAE14BD8,COMP_8FEB6E27,Director
TXP_83D62461A4,COMP_92E9D119,CEO
TXP_F5D1C4D49D,COMP_296AFF58,
TXP_CBE431D4A3,COMP_6E077D51,Secretary
TXP_A4208BFA15,COMP_872C0E39,Director
TXP_8B556FBFD7,COMP_5BE55653,Director
TXP_761210D236,COMP_C1C33263,CEO
TXP_887B44904A,COMP_708F862A,CEO
TXP_4EE3D2FC56,COMP_933F8FE9,CFO
TXP_0B07F5787B,COMP_4223C703,Non-Executive Director
TXP_F97F167393,COMP_4F5BBE9E,Director
TXP_6F427533EF,COMP_E8D42D86,CEO
TXP_00C568AF25,COMP_334B5B5F,CFO
TXP_F3852E5E78,COMP_4DD48592,CFO
TXP_D165B003A9,COMP_E9D1E4BD,Secretary
TXP_4806DCB89F,COMP_A498145B,Director
TXP_1ED1357E5C,COMP_D2578883,Director
TXP_6AFF00A72E,COMP_3918A7A7,Secretary
TXP_725C3F77CF,COMP_5DF0DD56,Director
TXP_31F9A15534,COMP_36618DD3,CFO
TXP_F764C701F9,COMP_DFF49443,Director
TXP_C0483E5CE3,COMP_915DB452,Director
TXP_1049318662,COMP_796856F0,Director
TXP_8460C425C4,COMP_0314D363,Director
TXP_3B15CA5B88,COMP_3778F530,Secretary
TXP_6BA1F040CB,COMP_6AFE354E,Secretary
TXP_5D3C3794AB,COMP_E31D59D1,Director
TXP_A7C4F56FCC,COMP_6B0A1ABF,Non-Executive Director
TXP_F88C22DFC8,COMP_933F8FE9,Director
TXP_A0C84DE648,COMP_BC908319,Director
TXP_81C3696500,COMP_8A4E2409,Non-Executive Director
TXP_BDF20B9367,COMP_4F78ECB4,Secretary
TXP_D44FB6A82D,COMP_5CE8A8EC,CFO
TXP_592887B3E6,COMP_421AF081,Director
TXP_329971F15E,COMP_A5C2CDE6,Director
TXP_E8A5329F9F,COMP_117B635D,CFO
TXP_4D0D0DE57E,COMP_22092DDB,Director
TXP_F86B01422D,COMP_5C75C814,Director
TXP_24B8646A78,COMP_1A1E83E0,CEO
TXP_62E56EADD1,COMP_269CF6D1,Non-Executive Director
TXP_6768079BB7,COMP_251BF352,Director
TXP_97DDB30613,COMP_4BFF9E0A,Non-Executive Director
TXP_D97113ABCC,COMP_7F3EC0CC,Non-Executive Director
TXP_AFF0844762,COMP_93995C8E,CEO
TXP_D00D9E9D00,COMP_697C6022,Director
TXP_2A18D77345,COMP_C4D733A1,Non-Executive Director
TXP_855FCE807E,COMP_F6B07150,CFO
TXP_F764C701F9,COMP_52F2F5D4,Director
TXP_8E15FD1A6D,COMP_F4F6435D,Director
TXP_D83739CCDB,COMP_ACC5C2D5,Director
TXP_9C54F92296,COMP_957FB21D,Non-Executive Director
TXP_2D77424487,COMP_EEF7B4F9,CEO
TXP_476433D278,COMP_139ACBB1,Director
TXP_675F03D07B,COMP_5A24153C,Director
TXP_93A4867C46,COMP_E0E0B7BD,CEO
TXP_6971F10441,COMP_69FD54DE,Director
TXP_EF936B3B8D,COMP_0B13A2DB,Director
TXP_158E9B69A2,COMP_3FABDFE4,Secretary
